name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
EVENT	MISC	n/a	0.0	499.70605526161086	Miscellaneous	999.4121105232217	bad	n/a
F3	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a
F4	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a
F5	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a
F6	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a
AT1	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a
AT2	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a
AT3	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a
AT4	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a
AT5	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a
AT6	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a
PT1	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a
PT2	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a
PT3	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a
PT4	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a
G1	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a
G2	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a
G3	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a
G4	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a
G5	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a
G6	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a
G7	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a
G8	ECOG	µV	0.0	499.70605526161086	Electrocorticography	999.4121105232217	good	n/a
