name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
TG3	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
TG4	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
TG5	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
TG6	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
TG11	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
TG13	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
TG18	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
TG19	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
TG20	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
TG22	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
TG27	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
TG28	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
TG29	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
TG30	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
TG31	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
TG32	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
TT1	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
TT2	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
TT3	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
E	MISC	n/a	0.0	500.0	Miscellaneous	1000.0	bad	n/a
TT4	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
AST1	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
TG24	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
TG26	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
AST2	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
AST3	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
AST4	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
MST1	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
MST2	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
MST3	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
MST4	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
PST1	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
PST2	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
PST3	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
PST4	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
OF1	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
OF2	ECOG	n/a	0.0	500.0	Electrocorticography	1000.0	good	n/a
